feature,class,molecule,genomic_accession,start,end,strand,product_accession,gene_family,gene,locus_tag,feature_interval_length,product_length,strain,startC1,endC1,startC2,endC2,strandC2
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,148163,149353,0,WP_011108198.1,site-specific integrase,xerC,FE838_RS00800,1191,396,Bacteroides thetaiotaomicron DSM 2079,12785,13975,12785,13975,0
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,149804,152899,1,WP_225011931.1,TonB-dependent receptor,susC,FE838_RS00805,3096,1031,Bacteroides thetaiotaomicron DSM 2079,14426,17521,14426,17521,1
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,152919,154328,1,WP_008764026.1,RagB/SusD family nutrient uptake outer membrane protein,susD,FE838_RS00810,1410,469,Bacteroides thetaiotaomicron DSM 2079,17541,18950,17541,18950,1
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,154457,155116,0,WP_008763832.1,MarC family protein,marC,FE838_RS00815,660,219,Bacteroides thetaiotaomicron DSM 2079,19079,19738,19079,19738,0
CDS,with_protein,GCF_001314995.1,NZ_CP012938.1,2844439,2845698,0,WP_004299188.1,GTPase HflX,hflX,Bovatus_RS11325,1260,419,Bacteroides ovatus ATCC 8483,0,1259,0,1259,0
CDS,with_protein,GCF_001314995.1,NZ_CP012938.1,2845801,2847261,0,WP_004299187.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,Bovatus_RS11330,1461,486,Bacteroides ovatus ATCC 8483,1362,2822,1362,2822,0
CDS,with_protein,GCF_001314995.1,NZ_CP012938.1,2847275,2850391,0,WP_004299186.1,SusC/RagA family TonB-linked outer membrane protein,susC,Bovatus_RS11335,3117,1038,Bacteroides ovatus ATCC 8483,2836,5952,2836,5952,0
CDS,with_protein,GCF_001314995.1,NZ_CP012938.1,2850841,2852013,1,WP_004299185.1,site-specific integrase,xerC,Bovatus_RS11340,1173,390,Bacteroides ovatus ATCC 8483,6402,7574,6402,7574,1
CDS,with_protein,GCF_001314995.1,NZ_CP012938.1,2852898,2855717,1,WP_229095129.1,TonB-dependent receptor,susC,Bovatus_RS11350,2820,939,Bacteroides ovatus ATCC 8483,8459,11278,8459,11278,1
CDS,with_protein,GCF_001314995.1,NZ_CP012938.1,2855737,2857149,1,WP_004299182.1,RagB/SusD family nutrient uptake outer membrane protein,susD,Bovatus_RS11355,1413,470,Bacteroides ovatus ATCC 8483,11298,12710,11298,12710,1
CDS,with_protein,GCF_001314995.1,NZ_CP012938.1,2857776,2858426,0,WP_004323496.1,MarC family protein,marC,Bovatus_RS11360,651,216,Bacteroides ovatus ATCC 8483,13337,13987,13337,13987,0
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,5670141,5670785,1,WP_002559196.1,MarC family protein,marC,K8P02_RS21760,645,214,Bacteroides nordii FDAARGOS,0,644,27379,28023,0
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,5671307,5671948,0,WP_007483957.1,hypothetical protein,other,K8P02_RS21765,642,213,Bacteroides nordii FDAARGOS,1166,1807,26216,26857,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,5671945,5673726,0,WP_223381822.1,M6 family metalloprotease domain-containing protein,other,K8P02_RS21770,1782,593,Bacteroides nordii FDAARGOS,1804,3585,24438,26219,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,5673807,5674688,0,WP_002559199.1,Calx-beta domain-containing protein,other,K8P02_RS21775,882,293,Bacteroides nordii FDAARGOS,3666,4547,23476,24357,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,5674707,5676146,0,WP_002559200.1,RagB/SusD family nutrient uptake outer membrane protein,susD,K8P02_RS21780,1440,479,Bacteroides nordii FDAARGOS,4566,6005,22018,23457,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,5676179,356,0,WP_195348889.1,TonB-dependent receptor,susC,K8P02_RS00005,2760,919,Bacteroides nordii FDAARGOS,6038,8798,19225,21985,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,1167,2996,0,WP_223381824.1,thiol protease/hemagglutinin PrtT,other,K8P02_RS00010,1830,609,Bacteroides nordii FDAARGOS,9609,11438,16585,18414,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,3099,3884,0,WP_155921495.1,hypothetical protein,other,K8P02_RS00015,786,261,Bacteroides nordii FDAARGOS,11541,12326,15697,16482,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,3930,5450,0,WP_007483981.1,RagB/SusD family nutrient uptake outer membrane protein,susD,K8P02_RS00020,1521,506,Bacteroides nordii FDAARGOS,12372,13892,14131,15651,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,5488,8418,0,WP_262903070.1,SusC/RagA family TonB-linked outer membrane protein,susC,K8P02_RS00025,2931,976,Bacteroides nordii FDAARGOS,13930,16860,11163,14093,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,9399,10580,0,WP_025868343.1,site-specific integrase,xerC,K8P02_RS00030,1182,393,Bacteroides nordii FDAARGOS,17841,19022,9001,10182,1
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,11033,14113,1,WP_223381833.1,TonB-dependent receptor,susC,K8P02_RS00035,3081,1026,Bacteroides nordii FDAARGOS,19475,22555,5468,8548,0
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,14135,15580,1,WP_025867986.1,RagB/SusD family nutrient uptake outer membrane protein,susD,K8P02_RS00040,1446,481,Bacteroides nordii FDAARGOS,22577,24022,4001,5446,0
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,15772,17622,1,WP_025867985.1,thiol protease/hemagglutinin PrtT,other,K8P02_RS00045,1851,616,Bacteroides nordii FDAARGOS,24214,26064,1959,3809,0
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,17741,18277,1,WP_002559206.1,hypothetical protein,other,K8P02_RS00050,537,178,Bacteroides nordii FDAARGOS,26183,26719,1304,1840,0
CDS,with_protein,GCF_019930665.1,NZ_CP082886.1,18316,19581,1,WP_007483990.1,GTPase HflX,hflX,K8P02_RS00055,1266,421,Bacteroides nordii FDAARGOS,26758,28023,0,1265,0
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1374911,1375570,1,WP_171031116.1,MarC family protein,marC,NQ546_RS05425,660,219,Bacteroides eggerthii DSM 20697,0,659,21277,21936,0
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1375654,1377132,0,WP_004289013.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,NQ546_RS05430,1479,492,Bacteroides eggerthii DSM 20697,743,2221,19715,21193,1
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1377157,1380186,0,WP_259812401.1,SusC/RagA family TonB-linked outer membrane protein,susC,NQ546_RS05435,3030,1009,Bacteroides eggerthii DSM 20697,2246,5275,16661,19690,1
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1380534,1381661,1,WP_004289015.1,ATP-binding protein,other,NQ546_RS05440,1128,375,Bacteroides eggerthii DSM 20697,5623,6750,15186,16313,0
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1381898,1383112,0,WP_004292403.1,IS256 family transposase,IS,NQ546_RS05445,1215,404,Bacteroides eggerthii DSM 20697,6987,8201,13735,14949,1
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1383264,1384472,0,WP_081446751.1,RagB/SusD family nutrient uptake outer membrane protein,susD,NQ546_RS05450,1209,402,Bacteroides eggerthii DSM 20697,8353,9561,12375,13583,1
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1384491,1387544,0,WP_259812402.1,TonB-dependent receptor,susC,NQ546_RS05455,3054,1017,Bacteroides eggerthii DSM 20697,9580,12633,9303,12356,1
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1387998,1389155,1,WP_004289019.1,site-specific integrase,xerC,NQ546_RS05460,1158,385,Bacteroides eggerthii DSM 20697,13087,14244,7692,8849,0
CDS,without_protein,GCF_025146565.1,NZ_CP102258.1,1389758,1392760,1,,SusC/RagA family TonB-linked outer membrane protein,susC,NQ546_RS05465,3003,,Bacteroides eggerthii DSM 20697,14847,17849,4087,7089,0
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1392774,1394249,1,WP_029429313.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,NQ546_RS05470,1476,491,Bacteroides eggerthii DSM 20697,17863,19338,2598,4073,0
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1394279,1394962,1,WP_004289023.1,DUF5011 domain-containing protein,other,NQ546_RS05475,684,227,Bacteroides eggerthii DSM 20697,19368,20051,1885,2568,0
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1394974,1395477,1,WP_004289024.1,lipid-binding protein,other,NQ546_RS05480,504,167,Bacteroides eggerthii DSM 20697,20063,20566,1370,1873,0
CDS,with_protein,GCF_025146565.1,NZ_CP102258.1,1395591,1396847,1,WP_004289025.1,GTPase HflX,hflX,NQ546_RS05485,1257,418,Bacteroides eggerthii DSM 20697,20680,21936,0,1256,0
CDS,with_protein,GCF_000186225.1,NC_014933.1,1502178,1502822,1,WP_013546785.1,MarC family protein,marC,BACHE_RS05965,645,214,Bacteroides helcogenes P 36-108,0,644,18691,19335,0
CDS,with_protein,GCF_000186225.1,NC_014933.1,1503150,1504613,0,WP_013546786.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BACHE_RS05970,1464,487,Bacteroides helcogenes P 36-108,972,2435,16900,18363,1
CDS,with_protein,GCF_000186225.1,NC_014933.1,1504625,1507348,0,WP_013546787.1,SusC/RagA family TonB-linked outer membrane protein,susC,BACHE_RS05975,2724,907,Bacteroides helcogenes P 36-108,2447,5170,14165,16888,1
CDS,with_protein,GCF_000186225.1,NC_014933.1,1507803,1508600,0,WP_013546790.1,hypothetical protein,other,BACHE_RS05980,798,265,Bacteroides helcogenes P 36-108,5625,6422,12913,13710,1
CDS,with_protein,GCF_000186225.1,NC_014933.1,1508619,1510148,0,WP_013546791.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BACHE_RS05985,1530,509,Bacteroides helcogenes P 36-108,6441,7970,11365,12894,1
CDS,without_protein,GCF_000186225.1,NC_014933.1,1510167,1513076,0,,TonB-dependent receptor,susC,BACHE_RS05990,2910,,Bacteroides helcogenes P 36-108,7989,10898,8437,11346,1
CDS,with_protein,GCF_000186225.1,NC_014933.1,1513543,1514721,0,WP_013546793.1,site-specific integrase,xerC,BACHE_RS05995,1179,392,Bacteroides helcogenes P 36-108,11365,12543,6792,7970,1
CDS,with_protein,GCF_000186225.1,NC_014933.1,1515174,1518392,1,WP_013546795.1,TonB-dependent receptor,susC,BACHE_RS06000,3219,1072,Bacteroides helcogenes P 36-108,12996,16214,3121,6339,0
CDS,with_protein,GCF_000186225.1,NC_014933.1,1518420,1520030,1,WP_013546796.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BACHE_RS06005,1611,536,Bacteroides helcogenes P 36-108,16242,17852,1483,3093,0
CDS,with_protein,GCF_000186225.1,NC_014933.1,1520257,1521513,1,WP_013546797.1,GTPase HflX,hflX,BACHE_RS06010,1257,418,Bacteroides helcogenes P 36-108,18079,19335,0,1256,0
CDS,with_protein,GCF_012113595.1,NZ_CP050831.1,145366,146625,0,WP_167959497.1,GTPase HflX,hflX,BacF7301_RS00575,1260,419,Bacteroides faecium CBA7301,0,1259,0,1259,0
CDS,with_protein,GCF_012113595.1,NZ_CP050831.1,146779,148446,0,WP_167959498.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BacF7301_RS00580,1668,555,Bacteroides faecium CBA7301,1413,3080,1413,3080,0
CDS,with_protein,GCF_012113595.1,NZ_CP050831.1,148474,151662,0,WP_167959499.1,TonB-dependent receptor,susC,BacF7301_RS00585,3189,1062,Bacteroides faecium CBA7301,3108,6296,3108,6296,0
CDS,with_protein,GCF_012113595.1,NZ_CP050831.1,152112,153302,1,WP_167959500.1,site-specific integrase,xerC,BacF7301_RS00590,1191,396,Bacteroides faecium CBA7301,6746,7936,6746,7936,1
CDS,with_protein,GCF_012113595.1,NZ_CP050831.1,153995,157039,1,WP_256380268.1,SusC/RagA family TonB-linked outer membrane protein,susC,BacF7301_RS00595,3045,1014,Bacteroides faecium CBA7301,8629,11673,8629,11673,1
CDS,with_protein,GCF_012113595.1,NZ_CP050831.1,157058,158521,1,WP_167959502.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,BacF7301_RS00600,1464,487,Bacteroides faecium CBA7301,11692,13155,11692,13155,1
CDS,with_protein,GCF_012113595.1,NZ_CP050831.1,158646,159299,0,WP_167959503.1,MarC family protein,marC,BacF7301_RS00605,654,217,Bacteroides faecium CBA7301,13280,13933,13280,13933,0
CDS,with_protein,GCF_009193295.2,NZ_CP059973.1,192264,193523,0,WP_143257654.1,GTPase HflX,hflX,GD631_RS00685,1260,419,Bacteroides luhongzhouii HF-5141,0,1259,0,1259,0
CDS,with_protein,GCF_009193295.2,NZ_CP059973.1,193627,195099,0,WP_143257653.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,GD631_RS00690,1473,490,Bacteroides luhongzhouii HF-5141,1363,2835,1363,2835,0
CDS,with_protein,GCF_009193295.2,NZ_CP059973.1,195121,198072,0,WP_009041213.1,SusC/RagA family TonB-linked outer membrane protein,susC,GD631_RS00695,2952,983,Bacteroides luhongzhouii HF-5141,2857,5808,2857,5808,0
CDS,with_protein,GCF_009193295.2,NZ_CP059973.1,198885,200075,0,WP_143257651.1,site-specific integrase,xerC,GD631_RS00700,1191,396,Bacteroides luhongzhouii HF-5141,6621,7811,6621,7811,0
CDS,with_protein,GCF_009193295.2,NZ_CP059973.1,200526,203663,1,WP_143257650.1,TonB-dependent receptor,susC,GD631_RS00705,3138,1045,Bacteroides luhongzhouii HF-5141,8262,11399,8262,11399,1
CDS,with_protein,GCF_009193295.2,NZ_CP059973.1,203687,205210,1,WP_143257649.1,RagB/SusD family nutrient uptake outer membrane protein,susD,GD631_RS00710,1524,507,Bacteroides luhongzhouii HF-5141,11423,12946,11423,12946,1
CDS,with_protein,GCF_009193295.2,NZ_CP059973.1,205392,205922,1,WP_223225937.1,sulfatase-like hydrolase/transferase,other,GD631_RS00715,531,176,Bacteroides luhongzhouii HF-5141,13128,13658,13128,13658,1
CDS,with_protein,GCF_009193295.2,NZ_CP059973.1,206036,206686,0,WP_143257648.1,MarC family protein,marC,GD631_RS00720,651,216,Bacteroides luhongzhouii HF-5141,13772,14422,13772,14422,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3361041,3362300,0,WP_065539435.1,GTPase HflX,hflX,A4V03_RS14590,1260,419,Bacteroides caecimuris I48,0,1259,0,1259,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3362434,3363858,0,WP_065539436.1,RagB/SusD family nutrient uptake outer membrane protein,susD,A4V03_RS14595,1425,474,Bacteroides caecimuris I48,1393,2817,1393,2817,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3363871,3366735,0,WP_071807688.1,TonB-dependent receptor,susC,A4V03_RS14600,2865,954,Bacteroides caecimuris I48,2830,5694,2830,5694,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3367210,3367710,0,WP_065539438.1,lipid-binding protein,other,A4V03_RS14605,501,166,Bacteroides caecimuris I48,6169,6669,6169,6669,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3367721,3368413,0,WP_065539439.1,DUF5012 domain-containing protein,other,A4V03_RS14610,693,230,Bacteroides caecimuris I48,6680,7372,6680,7372,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3368441,3369937,0,WP_065539440.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,A4V03_RS14615,1497,498,Bacteroides caecimuris I48,7400,8896,7400,8896,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3369950,3372952,0,WP_071807690.1,SusC/RagA family TonB-linked outer membrane protein,susC,A4V03_RS14620,3003,1000,Bacteroides caecimuris I48,8909,11911,8909,11911,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3373392,3374543,0,WP_065538162.1,ISAs1 family transposase,IS,A4V03_RS14625,1152,383,Bacteroides caecimuris I48,12351,13502,12351,13502,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3375161,3376345,0,WP_065539441.1,site-specific integrase,xerC,A4V03_RS14630,1185,394,Bacteroides caecimuris I48,14120,15304,14120,15304,0
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3376797,3379979,1,WP_065539442.1,SusC/RagA family TonB-linked outer membrane protein,susC,A4V03_RS14635,3183,1060,Bacteroides caecimuris I48,15756,18938,15756,18938,1
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3379994,3381661,1,WP_065539443.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,A4V03_RS14640,1668,555,Bacteroides caecimuris I48,18953,20620,18953,20620,1
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3381670,3382584,1,WP_065539444.1,hypothetical protein,other,A4V03_RS14645,915,304,Bacteroides caecimuris I48,20629,21543,20629,21543,1
CDS,with_protein,GCF_001688725.2,NZ_CP015401.2,3382730,3383389,0,WP_065539445.1,MarC family protein,marC,A4V03_RS14650,660,219,Bacteroides caecimuris I48,21689,22348,21689,22348,0
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1670216,1670881,1,WP_008665785.1,MarC family protein,marC,JXR92_RS06670,666,221,Bacteroides humanifaecis KGMB0793,0,665,39268,39933,0
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1670941,1672458,0,WP_005828430.1,RagB/SusD family nutrient uptake outer membrane protein,susD,JXR92_RS06675,1518,505,Bacteroides humanifaecis KGMB0793,725,2242,37691,39208,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1672476,1675295,0,WP_229096242.1,SusC/RagA family TonB-linked outer membrane protein,susC,JXR92_RS06680,2820,939,Bacteroides humanifaecis KGMB0793,2260,5079,34854,37673,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1676001,1676162,1,WP_165491379.1,hypothetical protein,other,JXR92_RS06685,162,53,Bacteroides humanifaecis KGMB0793,5785,5946,33987,34148,0
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1676391,1677989,0,WP_138346592.1,RagB/SusD family nutrient uptake outer membrane protein,susD,JXR92_RS06690,1599,532,Bacteroides humanifaecis KGMB0793,6175,7773,32160,33758,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1678010,1680952,0,WP_262905193.1,SusC/RagA family TonB-linked outer membrane protein,susC,JXR92_RS06695,2943,980,Bacteroides humanifaecis KGMB0793,7794,10736,29197,32139,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1681930,1682739,0,WP_174646375.1,hypothetical protein,other,JXR92_RS06700,810,269,Bacteroides humanifaecis KGMB0793,11714,12523,27410,28219,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1682771,1684414,0,WP_138346602.1,RagB/SusD family nutrient uptake outer membrane protein,susD,JXR92_RS06705,1644,547,Bacteroides humanifaecis KGMB0793,12555,14198,25735,27378,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1684439,1687432,0,WP_226791317.1,TonB-dependent receptor,susC,JXR92_RS06710,2994,997,Bacteroides humanifaecis KGMB0793,14223,17216,22717,25710,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1688138,1688299,1,WP_165491379.1,hypothetical protein,other,JXR92_RS06715,162,53,Bacteroides humanifaecis KGMB0793,17922,18083,21850,22011,0
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1688528,1690126,0,WP_138346592.1,RagB/SusD family nutrient uptake outer membrane protein,susD,JXR92_RS06720,1599,532,Bacteroides humanifaecis KGMB0793,18312,19910,20023,21621,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1690147,1693119,0,WP_226791318.1,SusC/RagA family TonB-linked outer membrane protein,susC,JXR92_RS06725,2973,990,Bacteroides humanifaecis KGMB0793,19931,22903,17030,20002,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1693536,1694756,1,WP_131225749.1,ATP-binding protein,other,JXR92_RS06730,1221,406,Bacteroides humanifaecis KGMB0793,23320,24540,15393,16613,0
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1694852,1695805,0,WP_131225750.1,hypothetical protein,other,JXR92_RS06735,954,317,Bacteroides humanifaecis KGMB0793,24636,25589,14344,15297,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1695836,1697425,0,WP_138346400.1,RagB/SusD family nutrient uptake outer membrane protein,susD,JXR92_RS06740,1590,529,Bacteroides humanifaecis KGMB0793,25620,27209,12724,14313,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1697457,1700423,0,WP_138346397.1,SusC/RagA family TonB-linked outer membrane protein,susC,JXR92_RS06745,2967,988,Bacteroides humanifaecis KGMB0793,27241,30207,9726,12692,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1701259,1702449,0,WP_131225754.1,site-specific integrase,xerC,JXR92_RS06750,1191,396,Bacteroides humanifaecis KGMB0793,31043,32233,7700,8890,1
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1702903,1706121,1,WP_226791302.1,TonB-dependent receptor,susC,JXR92_RS06755,3219,1072,Bacteroides humanifaecis KGMB0793,32687,35905,4028,7246,0
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1706149,1707777,1,WP_226791303.1,RagB/SusD family nutrient uptake outer membrane protein,susD,JXR92_RS06760,1629,542,Bacteroides humanifaecis KGMB0793,35933,37561,2372,4000,0
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1707812,1708729,1,WP_138346406.1,hypothetical protein,other,JXR92_RS06765,918,305,Bacteroides humanifaecis KGMB0793,37596,38513,1420,2337,0
CDS,with_protein,GCF_017309675.2,NZ_CP084680.1,1708893,1710149,1,WP_119961765.1,GTPase HflX,hflX,JXR92_RS06770,1257,418,Bacteroides humanifaecis KGMB0793,38677,39933,0,1256,0
CDS,with_protein,GCF_018289135.1,NZ_CP072216.1,3464623,3465885,0,WP_004326261.1,GTPase HflX,hflX,INE92_RS14805,1263,420,Bacteroides xylanisolvens CL11T00C03,0,1262,0,1262,0
CDS,with_protein,GCF_018289135.1,NZ_CP072216.1,3465988,3467448,0,WP_004299187.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,INE92_RS14810,1461,486,Bacteroides xylanisolvens CL11T00C03,1365,2825,1365,2825,0
CDS,with_protein,GCF_018289135.1,NZ_CP072216.1,3467462,3470578,0,WP_004299186.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE92_RS14815,3117,1038,Bacteroides xylanisolvens CL11T00C03,2839,5955,2839,5955,0
CDS,with_protein,GCF_018289135.1,NZ_CP072216.1,3471028,3472200,1,WP_004326266.1,site-specific integrase,xerC,INE92_RS14820,1173,390,Bacteroides xylanisolvens CL11T00C03,6405,7577,6405,7577,1
CDS,with_protein,GCF_018289135.1,NZ_CP072216.1,3473106,3475904,1,WP_250698624.1,TonB-dependent receptor,susC,INE92_RS14825,2799,932,Bacteroides xylanisolvens CL11T00C03,8483,11281,8483,11281,1
CDS,with_protein,GCF_018289135.1,NZ_CP072216.1,3475924,3477336,1,WP_004299182.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE92_RS14830,1413,470,Bacteroides xylanisolvens CL11T00C03,11301,12713,11301,12713,1
